observable_id,pauli_string,group_id,circuit_index,bits,invert
P1618,Y9 Y11,WT_TMP_G0003,0,9;11,false
P1634,X2 Z3 Z4 Z5 X6 Y9 Z10 Y11,WT_TMP_G0003,0,2;3;4;5;6;9;10;11,false
P1638,X0 Z1 X2 Z10,WT_TMP_G0003,0,0;1;2;10,false
P1643,Z1 Y9 Z10 Y11,WT_TMP_G0003,0,1;9;10;11,false
P1647,Z3 Z7,WT_TMP_G0003,0,3;7,false
P1671,Z7 Z10,WT_TMP_G0003,0,7;10,false
P1672,Z5 Y9 Z10 Y11,WT_TMP_G0003,0,5;9;10;11,false
P1688,Z1 X6 Z7 X8,WT_TMP_G0003,0,1;6;7;8,false
P1690,X2 Z3 Z4 Z5 X6 Z7,WT_TMP_G0003,0,2;3;4;5;6;7,false
P1697,Z3 Z5,WT_TMP_G0003,0,3;5,false
P1708,X0 Z1 X2 Y9 Z10 Y11,WT_TMP_G0003,0,0;1;2;9;10;11,false
P1716,Z1 Z10,WT_TMP_G0003,0,1;10,false
P1733,X6 Z7 X8 Z10,WT_TMP_G0003,0,6;7;8;10,false
P1770,Z3 X6 Z7 X8,WT_TMP_G0003,0,3;6;7;8,false
P1801,X0 Z1 X2,WT_TMP_G0003,0,0;1;2,false
P1805,Z1 Z3,WT_TMP_G0003,0,1;3,false
P0853,X3 X5,WT_TMP_G0004,0,3;5,false
P1283,X5 X6 Y7 Y8,WT_TMP_G0004,0,5;6;7;8,false
P1333,Z2 Z10,WT_TMP_G0004,0,2;10,false
P1454,X0 Z1 Z2 X3 X5 X6,WT_TMP_G0004,0,0;1;2;3;5;6,false
P1681,Y4 X5 X6 Y7,WT_TMP_G0004,0,4;5;6;7,false
P1714,X0 Z1 Z2 X3 Y8 Z9 Z10 Y11,WT_TMP_G0004,0,0;1;2;3;8;9;10;11,false
P0572,X0 Z1 X2 Z8,WT_TMP_G0005,0,0;1;2;8,false
P0898,Z6 Z8,WT_TMP_G0005,0,6;8,false
P0971,Z6,WT_TMP_G0005,0,6,false
P1001,X0 Z1 X2 Z9,WT_TMP_G0005,0,0;1;2;9,false
P1066,Z6 Z7,WT_TMP_G0005,0,6;7,false
P1109,X3 Z4 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0005,0,3;4;6;7;8;9;10;11,false
P1112,Z6 Z10,WT_TMP_G0005,0,6;10,false
P1221,X3 Z4 Z5 Z6 Z8 Z9 Z10 X11,WT_TMP_G0005,0,3;4;5;6;8;9;10;11,false
P1273,X0 Z1 X2 Z6,WT_TMP_G0005,0,0;1;2;6,false
P1282,X3 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0005,0,3;5;6;7;8;9;10;11,false
P1308,Z7 Z8,WT_TMP_G0005,0,7;8,false
P1373,Z5 Z6,WT_TMP_G0005,0,5;6,false
P1434,Z6 Z9,WT_TMP_G0005,0,6;9,false
P1528,X3 Z4 Z5 Z7 Z8 Z9 Z10 X11,WT_TMP_G0005,0,3;4;5;7;8;9;10;11,false
P1537,X0 Z1 X2 X3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0005,0,0;1;2;3;4;5;6;7;8;9;10;11,false
P1548,Z4 Z6,WT_TMP_G0005,0,4;6,false
P1553,X3 Z4 Z5 Z6 Z7 Z8 Z9 X11,WT_TMP_G0005,0,3;4;5;6;7;8;9;11,false
P1616,Z1 Z6,WT_TMP_G0005,0,1;6,false
P1655,Z1 X3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0005,0,1;3;4;5;6;7;8;9;10;11,false
P1669,Z7 Z9,WT_TMP_G0005,0,7;9,false
P1694,X3 Z4 Z5 Z6 Z7 Z9 Z10 X11,WT_TMP_G0005,0,3;4;5;6;7;9;10;11,false
P1764,X3 Z4 Z5 Z6 Z7 Z8 Z10 X11,WT_TMP_G0005,0,3;4;5;6;7;8;10;11,false
P1800,X3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 X11,WT_TMP_G0005,0,3;4;5;6;7;8;9;10;11,false
P0182,Z3 Y4 Z5 Y6,WT_TMP_G0006,0,3;4;5;6,false
P0557,Y2 Z3 Y4 Z10,WT_TMP_G0006,0,2;3;4;10,false
P1012,Y4 Z5 Y6 Z9,WT_TMP_G0006,0,4;5;6;9,false
P1047,Y4 Z5 Y6 Z10,WT_TMP_G0006,0,4;5;6;10,false
P1110,Y4 Y6,WT_TMP_G0006,0,4;6,false
P1174,Z5 Y6 Z7 Y8,WT_TMP_G0006,0,5;6;7;8,false
P1321,Y4 Z5 Z7 Y8,WT_TMP_G0006,0,4;5;7;8,false
P1427,Y6 Z7 Y8 Z10,WT_TMP_G0006,0,6;7;8;10,false
P1469,Y4 Z5 Y6 Z7,WT_TMP_G0006,0,4;5;6;7,false
P1477,Y6 Z7 Y8 Z9,WT_TMP_G0006,0,6;7;8;9,false
P1488,Y6 Z7 Y8,WT_TMP_G0006,0,6;7;8,false
P1518,Z3 Z9,WT_TMP_G0006,0,3;9,false
P1622,Y2 Z3 Y4 Z5,WT_TMP_G0006,0,2;3;4;5,false
P1633,Z3 Y6 Z7 Y8,WT_TMP_G0006,0,3;6;7;8,false
P1639,Y2 Y4,WT_TMP_G0006,0,2;4,false
P1640,Y2 Z3 Y4 Y6 Z7 Y8,WT_TMP_G0006,0,2;3;4;6;7;8,false
P1654,Y2 Z3 Y4 Z9,WT_TMP_G0006,0,2;3;4;9,false
P1685,Y6 Y8,WT_TMP_G0006,0,6;8,false
P1695,Y4 Z5 Y6,WT_TMP_G0006,0,4;5;6,false
P1705,Y2 Z3 Z5 Y6,WT_TMP_G0006,0,2;3;5;6,false
P1758,X0 Y1 Y8 Z9 Z10 X11,WT_TMP_G0006,0,0;1;8;9;10;11,false
P1767,Y2 Z3 Y4,WT_TMP_G0006,0,2;3;4,false
P1785,Y2 Z3 Y4 Z7,WT_TMP_G0006,0,2;3;4;7,false
P0374,X0 Y1 Y2 X3,WT_TMP_G0007,0,0;1;2;3,false
P0506,Y1 Y2 Y8 Y9,WT_TMP_G0007,0,1;2;8;9,false
P0800,Y2 X3 X7 Y8,WT_TMP_G0007,0,2;3;7;8,false
P0823,X4 X5 Y8 Y9,WT_TMP_G0007,0,4;5;8;9,false
P1114,X7 Y8 Y9 X10,WT_TMP_G0007,0,7;8;9;10,false
