background,dtmp_atom_index,tmp_atom_index,element
WT,0,0,C
WT,1,1,N
WT,2,2,C
WT,3,3,N
WT,4,4,N
WT,5,5,C
WT,6,6,N
WT,7,7,C
WT,8,8,C
WT,9,9,C
WT,10,10,C
WT,11,11,C
WT,12,12,O
WT,13,13,C
WT,14,14,C
WT,15,15,O
WT,16,17,C
WT,17,18,O
WT,18,19,C
WT,19,20,C
L28R,0,0,C
L28R,1,1,N
L28R,2,2,C
L28R,3,3,N
L28R,4,4,N
L28R,5,5,C
L28R,6,6,N
L28R,7,7,C
L28R,8,8,C
L28R,9,9,C
L28R,10,10,C
L28R,11,11,C
L28R,12,12,O
L28R,13,13,C
L28R,14,14,C
L28R,15,15,O
L28R,16,17,C
L28R,17,18,O
L28R,18,19,C
L28R,19,20,C
