system,file,status,ligand_resname,ligand_heavy_atoms,residue_28,ligand_res28_min_A,ligand_res28_centroid_A,min_protein_ligand_A,severe_clashes_lt_1_2A,waters,notes
WT_TMP,/Users/abdellahaly/dhfr-inquanto-resistance/data/processed/WT_TMP_minimized.pdb,PASS,TOP,21,A:LEU28,4.047138989459097,5.854575877293187,2.822250697581631,0,10,
WT_4DTMP,/Users/abdellahaly/dhfr-inquanto-resistance/data/processed/WT_4DTMP_minimized.pdb,PASS,DTM,20,A:LEU28,4.112035262494723,5.985533200820542,2.8490554575157,0,9,
L28R_TMP,/Users/abdellahaly/dhfr-inquanto-resistance/data/processed/L28R_TMP_minimized.pdb,PASS,TOP,21,A:ARG28,3.7041671128608655,6.687912985387192,2.8085207850397,0,8,
L28R_4DTMP,/Users/abdellahaly/dhfr-inquanto-resistance/data/processed/L28R_4DTMP_minimized.pdb,PASS,DTM,20,A:ARG28,5.058748956016694,6.865297916436374,2.744264017910812,0,8,
