condition,column,n_homologs,median_logfc,q25_logfc,q75_logfc,fraction_fit_ge_minus1
Complementation,fitD05D03,794,-0.9006810869819075,-1.99676531117828,0.12033169485488675,0.5239294710327456
0.058 ug/mL TMP,fitD06D03,789,-1.26071873732786,-2.8289015478377,0.0137789613329371,0.45627376425855515
0.5 ug/mL TMP (MIC),fitD07D03,777,-1.80924611055242,-3.77648613063032,-0.195644258259456,0.3732303732303732
1 ug/mL TMP,fitD08D03,781,-2.00908236534628,-4.22685080034033,-0.346482992998878,0.3444302176696543
10 ug/mL TMP,fitD09D03,762,-3.53299187058513,-6.316564879639408,-1.25370064289333,0.2230971128608924
50 ug/mL TMP,fitD10D03,763,-4.48648695846335,-5.99180336999686,-2.420499620101,0.1402359108781127
200 ug/mL TMP,fitD11D03,609,-7.41782423527735,-8.65928434054124,-4.52732738192111,0.09195402298850575
