path,size_bytes,type,sha256,system,expected_object,load_status,loader,error,portability,required_dependency
results/quantum/protocol_checkpoints/WT_TMP_H2-1LE_100shots_built.pkl,1064442085,pickle,ff3e3aad2312b2230eace53116238e8fca33a5812f2e542cf5abf90764806601,WT_TMP,InQuanto PauliAveraging built protocol,blocked,PauliAveraging.load,InQuanto license initialization unavailable,requires original loader,InQuanto 6.1.0 license
results/quantum/protocol_checkpoints/WT_TMP_H2-1LE_100shots_compiled.pkl,1604930965,pickle,b68988ff651fe75ce8354bb23807ef26b4e3e504be6f38b20761ecbdc4f6eb32,WT_TMP,InQuanto PauliAveraging compiled protocol,blocked,PauliAveraging.load,InQuanto license initialization unavailable,requires original loader,InQuanto 6.1.0 license
results/quantum/protocol_checkpoints/WT_TMP_H2-1LE_100shots_completed.pkl,1605693270,pickle,1dfef8430b969608ca1affaab6c7dabbc05b9ae3a125b2ff4ba53f6616a84997,WT_TMP,InQuanto PauliAveraging completed protocol,blocked,PauliAveraging.load,InQuanto license initialization unavailable,requires original loader,InQuanto 6.1.0 license
results/quantum/measurement_plans/WT_TMP_pauli_partitioning.csv,2510458064,csv,,WT_TMP,Pauli-to-circuit partition map,readable_not_portable,csv,Each circuit cell is approximately 1.38 million serialized characters,not suitable as compact circuit export,InQuanto/pytket provenance
