"shots_per_circuit","energy_hartree","uncertainty_hartree","error_millihartree","uncertainty_millihartree"
100,-2587.92373349453,0.00647711443768474,-11.7319681189656,6.47711443768474
250,-2587.90924569123,0.00409138129441851,2.75583517895939,4.09138129441851
500,-2587.90982037383,0.00289548102206278,2.18115258212492,2.89548102206278
1000,-2587.91031121185,0.00204849630593707,1.69031455880031,2.04849630593707
2500,-2587.91096698445,0.00129643624819669,1.03454196414532,1.29643624819669
5000,-2587.91169283106,0.00091626736954933,0.308695352032373,0.91626736954933
10000,-2587.9122463179,0.000647364580336643,-0.244791491695651,0.647364580336643
