"stage","status"
"Four structures","Complete"
"Four classical pilots","Pilot"
"WT_TMP exact quantum","Complete"
"WT_TMP local shots","Complete"
"WT_TMP remote pilot","Provider timeout"
"Four-system quantum","Missing"
